orderNumber,orderDate,requiredDate,status,customerNumber,amount,paymentMethod
1345,2024-01-17,2024-01-17,On Hold,949,116.85,Bank Transfer
1346,2024-01-17,2024-01-17,Cancelled,340,7800.01,Credit Card
1347,2024-01-19,2024-01-19,On Hold,391,6343.42,Cash
1348,2024-06-06,2024-06-06,Shipped,196,2512.67,Bank Transfer
1349,2024-01-17,2024-01-17,Cancelled,32,4182.18,Bank Transfer
1350,2024-05-13,2024-05-13,Shipped,954,4408.61,PayPal
1351,2024-02-13,2024-02-13,Processing,521,4365.39,Cash
1352,2024-01-15,2024-01-15,Processing,746,3076.32,PayPal
1353,2024-01-31,2024-01-31,Processing,109,1753.33,Credit Card
1354,2024-09-24,2024-09-24,Cancelled,233,6715.35,Credit Card
1355,2024-01-13,2024-01-13,Cancelled,407,2922.11,Bank Transfer
1356,2024-07-13,2024-07-13,Shipped,473,8977.98,PayPal
1357,2024-03-13,2024-03-13,On Hold,932,7166.98,Cash
1358,2024-11-11,2024-11-11,Cancelled,359,2494.69,PayPal
1359,2024-03-23,2024-03-23,On Hold,863,5614.8,PayPal
1360,2024-02-04,2024-02-04,Shipped,571,1720.99,PayPal
1361,2024-11-25,2024-11-25,Shipped,14,3117.99,Cash
1362,2024-11-05,2024-11-05,On Hold,474,4734.61,Credit Card
1363,2024-06-16,2024-06-16,Shipped,274,2971.05,Credit Card
1364,2024-10-28,2024-10-28,Shipped,892,446.46,Cash
1365,2024-10-08,2024-10-08,Cancelled,10,5058.32,Bank Transfer
1366,2024-04-02,2024-04-02,On Hold,342,1656.29,Credit Card
1367,2024-11-02,2024-11-02,On Hold,707,4040.87,Cash
1368,2024-10-26,2024-10-26,Shipped,948,2515.21,Cash
1369,2024-04-25,2024-04-25,On Hold,122,617.51,Bank Transfer
1370,2024-02-13,2024-02-13,On Hold,652,9287.03,PayPal
1371,2024-03-11,2024-03-11,Cancelled,947,6109.15,PayPal
1372,2024-07-25,2024-07-25,Processing,995,926.27,Credit Card
1373,2024-05-19,2024-05-19,Processing,396,3281.0,Credit Card
1374,2024-08-02,2024-08-02,Processing,902,2280.61,Cash
1375,2024-04-07,2024-04-07,Cancelled,604,7598.66,PayPal
1376,2024-04-14,2024-04-14,Shipped,979,3994.09,Cash
1377,2024-04-21,2024-04-21,Cancelled,701,8582.4,Credit Card
1378,2024-02-11,2024-02-11,Cancelled,762,8803.43,PayPal
1379,2024-07-09,2024-07-09,On Hold,649,1498.33,PayPal
1380,2024-03-01,2024-03-01,On Hold,500,4492.92,Bank Transfer
1381,2024-01-14,2024-01-14,Processing,385,2115.32,PayPal
1382,2024-05-09,2024-05-09,Processing,910,4358.45,Credit Card
1383,2024-01-29,2024-01-29,Shipped,755,8991.49,PayPal
1384,2024-09-06,2024-09-06,Shipped,948,4138.41,Cash
1385,2024-05-30,2024-05-30,Shipped,714,7794.24,Bank Transfer
1386,2024-07-18,2024-07-18,Shipped,623,4454.01,Cash
1387,2024-07-03,2024-07-03,Processing,858,2892.53,PayPal
1388,2024-09-06,2024-09-06,Processing,479,7667.36,Cash
1389,2024-05-13,2024-05-13,Processing,980,5675.58,Credit Card
1390,2024-10-27,2024-10-27,On Hold,38,2315.42,PayPal
1391,2024-06-01,2024-06-01,Shipped,555,2676.64,Cash
1392,2024-03-19,2024-03-19,Shipped,757,9098.17,Credit Card
1393,2024-01-16,2024-01-16,Cancelled,528,8505.1,Cash
1394,2024-05-24,2024-05-24,Processing,790,5182.55,Cash
1395,2024-04-20,2024-04-20,Shipped,709,3454.43,PayPal
1396,2024-07-24,2024-07-24,On Hold,793,7553.95,PayPal
1397,2024-05-03,2024-05-03,Shipped,730,3636.11,Credit Card
1398,2024-07-19,2024-07-19,Processing,25,1563.74,Cash
1399,2024-09-13,2024-09-13,Shipped,624,8621.73,Cash
1400,2024-06-21,2024-06-21,Processing,273,8562.96,PayPal
1401,2024-06-29,2024-06-29,Shipped,701,6871.93,Credit Card
1402,2024-08-21,2024-08-21,Shipped,609,3505.17,PayPal
1403,2024-03-25,2024-03-25,Shipped,24,2138.03,Credit Card
1404,2024-07-18,2024-07-18,Processing,172,9366.49,PayPal
1405,2024-04-17,2024-04-17,Shipped,831,2751.34,Cash
1406,2024-01-18,2024-01-18,Processing,463,1257.35,Cash
1407,2024-06-26,2024-06-26,On Hold,823,8050.52,Credit Card
1408,2024-06-19,2024-06-19,Cancelled,810,1770.74,Credit Card
1409,2024-06-20,2024-06-20,Shipped,478,381.27,Cash
1410,2024-08-20,2024-08-20,Processing,566,9720.99,PayPal
1411,2024-09-02,2024-09-02,Processing,848,8172.15,PayPal
1412,2024-04-25,2024-04-25,Shipped,501,1288.82,Bank Transfer
1413,2024-06-05,2024-06-05,Shipped,853,9868.01,Bank Transfer
1414,2024-06-29,2024-06-29,Cancelled,644,9673.29,Cash
1415,2024-10-03,2024-10-03,Shipped,51,5380.73,Credit Card
1416,2024-02-02,2024-02-02,Processing,954,3024.23,PayPal
1417,2024-05-26,2024-05-26,Cancelled,208,9221.91,Credit Card
1418,2024-11-26,2024-11-26,On Hold,632,6924.15,Credit Card
1419,2024-07-25,2024-07-25,On Hold,464,550.43,PayPal
1420,2024-02-26,2024-02-26,Processing,474,4762.66,Cash
1421,2024-06-25,2024-06-25,Processing,246,3820.16,PayPal
1422,2024-02-29,2024-02-29,Shipped,356,2854.27,Bank Transfer
1423,2024-08-29,2024-08-29,Processing,11,9181.53,PayPal
1424,2024-01-14,2024-01-14,On Hold,429,7264.15,PayPal
1425,2024-02-25,2024-02-25,Processing,877,2612.51,Credit Card
1426,2024-08-23,2024-08-23,Shipped,125,6944.5,Cash
1427,2024-04-27,2024-04-27,Shipped,118,2716.0,PayPal
1428,2024-08-16,2024-08-16,Shipped,979,1289.6,Cash
1429,2024-04-07,2024-04-07,On Hold,227,4999.56,Credit Card
1430,2024-05-29,2024-05-29,Cancelled,771,630.16,Bank Transfer
1431,2024-06-21,2024-06-21,Shipped,737,8795.14,Bank Transfer
1432,2024-10-31,2024-10-31,On Hold,783,9845.93,Credit Card
1433,2024-08-08,2024-08-08,Shipped,308,1794.11,Cash
1434,2024-07-02,2024-07-02,On Hold,598,2110.48,Credit Card
1435,2024-01-02,2024-01-02,Shipped,266,7419.5,Credit Card
1436,2024-01-09,2024-01-09,Shipped,883,3863.02,Cash
1437,2024-10-05,2024-10-05,Shipped,729,8513.05,Bank Transfer
1438,2024-09-10,2024-09-10,Shipped,94,1272.12,PayPal
1439,2024-10-13,2024-10-13,Processing,566,521.2,Bank Transfer
1440,2024-01-25,2024-01-25,On Hold,102,1099.98,Bank Transfer
1441,2024-08-17,2024-08-17,Cancelled,98,5951.95,Cash
1442,2024-05-17,2024-05-17,Shipped,796,3377.87,Bank Transfer
1443,2024-09-14,2024-09-14,On Hold,290,9688.39,Cash
1444,2024-09-16,2024-09-16,On Hold,806,8064.13,Cash
1445,2024-09-20,2024-09-20,Shipped,699,209.84,Credit Card
1446,2024-06-26,2024-06-26,Cancelled,652,3169.84,Cash
1447,2024-10-04,2024-10-04,On Hold,47,8503.88,PayPal
1448,2024-08-31,2024-08-31,Shipped,917,7622.04,Credit Card
1449,2024-10-06,2024-10-06,Processing,682,3623.47,Bank Transfer
1450,2024-05-02,2024-05-02,Shipped,315,1662.87,Bank Transfer
1451,2024-11-19,2024-11-19,On Hold,970,412.85,Credit Card
1452,2024-04-13,2024-04-13,Cancelled,115,1234.2,PayPal
1453,2024-08-15,2024-08-15,On Hold,886,2182.5,PayPal
1454,2024-04-27,2024-04-27,Processing,726,6282.18,PayPal
1455,2024-04-14,2024-04-14,Cancelled,949,3129.52,Cash
1456,2024-02-28,2024-02-28,On Hold,674,7518.28,PayPal
1457,2024-11-04,2024-11-04,Cancelled,968,7657.61,Credit Card
1458,2024-07-02,2024-07-02,Cancelled,526,6368.27,PayPal
1459,2024-10-27,2024-10-27,Shipped,202,7822.97,PayPal
1460,2024-10-11,2024-10-11,On Hold,519,5030.96,Credit Card
1461,2024-02-01,2024-02-01,Processing,823,5536.03,Bank Transfer
1462,2024-09-07,2024-09-07,On Hold,991,7671.45,PayPal
1463,2024-08-24,2024-08-24,On Hold,445,8209.6,Bank Transfer
1464,2024-04-02,2024-04-02,Processing,919,558.7,Cash
1465,2024-04-25,2024-04-25,Processing,569,2322.16,Cash
1466,2024-01-13,2024-01-13,Processing,161,934.42,Credit Card
1467,2024-01-12,2024-01-12,Processing,868,2450.66,Credit Card
1468,2024-07-31,2024-07-31,Shipped,467,942.33,PayPal
1469,2024-01-29,2024-01-29,Cancelled,467,7596.08,PayPal
1470,2024-11-15,2024-11-15,On Hold,991,8073.41,Bank Transfer
1471,2024-06-09,2024-06-09,Cancelled,41,3616.69,PayPal
1472,2024-10-07,2024-10-07,Shipped,550,886.58,PayPal
1473,2024-11-02,2024-11-02,On Hold,501,4019.35,Bank Transfer
1474,2024-08-16,2024-08-16,Cancelled,265,1911.66,Credit Card
1475,2024-06-26,2024-06-26,Shipped,61,3055.12,Cash
1476,2024-01-16,2024-01-16,Cancelled,295,8583.0,Cash
1477,2024-07-21,2024-07-21,Cancelled,430,3201.16,Bank Transfer
1478,2024-01-12,2024-01-12,Cancelled,730,9161.23,PayPal
1479,2024-06-16,2024-06-16,Cancelled,559,2776.05,PayPal
1480,2024-08-26,2024-08-26,Shipped,82,4384.89,PayPal
1481,2024-10-09,2024-10-09,Cancelled,140,2283.03,PayPal
1482,2024-03-09,2024-03-09,Shipped,482,3490.71,PayPal
1483,2024-04-14,2024-04-14,Cancelled,881,9866.43,Credit Card
1484,2024-05-21,2024-05-21,Processing,318,2348.28,Bank Transfer
1485,2024-06-09,2024-06-09,On Hold,15,6245.85,Cash
1486,2024-05-26,2024-05-26,On Hold,138,3242.68,Cash
1487,2024-11-08,2024-11-08,Shipped,894,7110.62,PayPal
1488,2024-04-17,2024-04-17,Cancelled,601,6240.06,Bank Transfer
1489,2024-10-29,2024-10-29,Processing,468,6894.68,PayPal
1490,2024-05-22,2024-05-22,Processing,659,6494.22,Bank Transfer
1491,2024-11-05,2024-11-05,Processing,491,3363.73,PayPal
1492,2024-09-24,2024-09-24,On Hold,513,1530.59,Bank Transfer
1493,2024-09-30,2024-09-30,Shipped,325,6746.1,Cash
1494,2024-04-09,2024-04-09,Processing,469,5824.38,PayPal
1495,2024-02-15,2024-02-15,Processing,94,7909.84,PayPal
1496,2024-11-24,2024-11-24,Cancelled,631,8044.52,Cash
1497,2024-11-15,2024-11-15,Cancelled,81,9408.67,Credit Card
1498,2024-08-20,2024-08-20,Cancelled,972,7401.89,Cash
1499,2024-08-21,2024-08-21,Shipped,383,5465.56,Bank Transfer
1500,2024-03-23,2024-03-23,On Hold,29,8352.09,Bank Transfer
1501,2024-04-30,2024-04-30,Cancelled,686,154.93,Credit Card
1502,2024-08-12,2024-08-12,Cancelled,476,7829.75,Bank Transfer
1503,2024-09-19,2024-09-19,Shipped,565,8002.05,Cash
1504,2024-05-20,2024-05-20,Processing,473,605.66,Cash
1505,2024-07-09,2024-07-09,Cancelled,678,939.46,Bank Transfer
1506,2024-07-06,2024-07-06,On Hold,712,328.35,Bank Transfer
1507,2024-09-26,2024-09-26,Cancelled,578,1606.33,PayPal
1508,2024-11-04,2024-11-04,Cancelled,50,1703.74,Credit Card
1509,2024-06-18,2024-06-18,Cancelled,303,6687.77,Cash
1510,2024-08-03,2024-08-03,Processing,461,6025.63,PayPal
1511,2024-08-15,2024-08-15,Processing,992,9291.74,Credit Card
1512,2024-08-14,2024-08-14,Processing,929,8983.41,Cash
1513,2024-09-05,2024-09-05,Cancelled,368,2018.89,PayPal
1514,2024-07-15,2024-07-15,Shipped,541,538.85,Bank Transfer
1515,2024-10-26,2024-10-26,Shipped,557,6965.78,Cash
1516,2024-08-19,2024-08-19,Shipped,315,3448.31,PayPal
1517,2024-06-28,2024-06-28,Cancelled,948,1496.28,Cash
1518,2024-03-12,2024-03-12,Shipped,799,8069.66,Credit Card
1519,2024-08-05,2024-08-05,Processing,164,1453.89,Credit Card
1520,2024-06-08,2024-06-08,Processing,568,1584.09,Cash
1521,2024-07-11,2024-07-11,Cancelled,519,6181.63,Credit Card
1522,2024-01-12,2024-01-12,Shipped,477,3674.57,PayPal
1523,2024-05-06,2024-05-06,On Hold,61,9487.15,Bank Transfer
1524,2024-05-26,2024-05-26,On Hold,623,9741.93,Cash
1525,2024-04-13,2024-04-13,On Hold,510,9763.44,Cash
1526,2024-02-17,2024-02-17,On Hold,99,8222.76,Bank Transfer
1527,2024-06-28,2024-06-28,On Hold,841,9647.66,PayPal
1528,2024-10-02,2024-10-02,Cancelled,211,5488.01,Bank Transfer
1529,2024-05-25,2024-05-25,Shipped,112,1644.7,Bank Transfer
1530,2024-05-10,2024-05-10,Processing,711,4026.22,Bank Transfer
1531,2024-07-12,2024-07-12,Cancelled,855,4413.42,Bank Transfer
1532,2024-10-08,2024-10-08,Processing,717,5983.03,Cash
1533,2024-09-17,2024-09-17,On Hold,70,5917.99,Credit Card
1534,2024-04-13,2024-04-13,Cancelled,692,8486.09,PayPal
1535,2024-10-06,2024-10-06,Cancelled,423,5640.92,Bank Transfer
1536,2024-10-20,2024-10-20,Cancelled,875,9677.53,Bank Transfer
1537,2024-01-30,2024-01-30,Cancelled,765,1312.58,Credit Card
1538,2024-10-21,2024-10-21,Processing,216,2511.26,Cash
1539,2024-02-08,2024-02-08,Shipped,490,8017.54,PayPal
1540,2024-09-28,2024-09-28,On Hold,493,5103.95,PayPal
1541,2024-09-27,2024-09-27,Shipped,469,9403.01,Bank Transfer
1542,2024-03-15,2024-03-15,Processing,358,6971.68,Credit Card
1543,2024-03-24,2024-03-24,Cancelled,584,4037.23,PayPal
1544,2024-05-03,2024-05-03,On Hold,947,8937.53,PayPal
1545,2024-10-10,2024-10-10,Cancelled,83,2483.31,Cash
1546,2024-05-18,2024-05-18,Cancelled,975,1897.87,Credit Card
1547,2024-10-03,2024-10-03,Cancelled,529,2250.55,Credit Card
1548,2024-10-10,2024-10-10,Processing,707,7361.1,PayPal
1549,2024-10-23,2024-10-23,Shipped,728,8151.71,Bank Transfer
1550,2024-05-26,2024-05-26,On Hold,60,9911.06,Bank Transfer
1551,2024-04-25,2024-04-25,Cancelled,830,4260.49,Credit Card
1552,2024-08-11,2024-08-11,Cancelled,68,848.32,Credit Card
1553,2024-02-22,2024-02-22,On Hold,634,3463.35,Bank Transfer
1554,2024-06-16,2024-06-16,Cancelled,524,8687.53,Credit Card
1555,2024-11-04,2024-11-04,Processing,892,2426.87,PayPal
1556,2024-04-28,2024-04-28,Processing,153,2837.27,Bank Transfer
1557,2024-02-25,2024-02-25,Processing,411,8754.07,Cash
1558,2024-06-13,2024-06-13,On Hold,664,7846.97,Cash
1559,2024-10-24,2024-10-24,Processing,466,9121.7,PayPal
1560,2024-11-24,2024-11-24,Processing,969,9305.1,Bank Transfer
1561,2024-05-27,2024-05-27,On Hold,343,4429.61,PayPal
1562,2024-10-05,2024-10-05,Shipped,348,7276.25,Credit Card
1563,2024-03-23,2024-03-23,Processing,586,9993.66,PayPal
1564,2024-06-13,2024-06-13,Shipped,654,1975.81,Bank Transfer
1565,2024-09-22,2024-09-22,Cancelled,658,8683.81,Cash
1566,2024-02-27,2024-02-27,Cancelled,144,2166.57,Bank Transfer
1567,2024-11-08,2024-11-08,Processing,188,5667.39,Cash
1568,2024-03-12,2024-03-12,Shipped,169,4794.67,Bank Transfer
1569,2024-04-02,2024-04-02,Cancelled,174,4918.47,Credit Card
1570,2024-05-27,2024-05-27,Shipped,293,2965.67,Bank Transfer
1571,2024-02-07,2024-02-07,Processing,318,8493.28,Cash
1572,2024-08-05,2024-08-05,Processing,403,9303.18,Credit Card
1573,2024-11-04,2024-11-04,Shipped,214,1198.0,Credit Card
1574,2024-05-17,2024-05-17,Processing,612,9296.37,PayPal
1575,2024-03-31,2024-03-31,Shipped,80,2228.6,Cash
1576,2024-06-14,2024-06-14,Shipped,232,9945.02,Credit Card
1577,2024-09-10,2024-09-10,Cancelled,801,9784.97,PayPal
1578,2024-04-24,2024-04-24,Shipped,590,3630.57,PayPal
1579,2024-01-28,2024-01-28,Cancelled,683,5582.28,PayPal
1580,2024-09-26,2024-09-26,On Hold,264,8846.86,Credit Card
1581,2024-05-14,2024-05-14,Cancelled,508,7782.65,Credit Card
1582,2024-05-16,2024-05-16,Processing,563,5912.31,Credit Card
1583,2024-06-03,2024-06-03,Cancelled,616,5169.69,Credit Card
1584,2024-04-14,2024-04-14,Cancelled,833,7653.78,Credit Card
1585,2024-03-06,2024-03-06,Shipped,169,1438.29,PayPal
1586,2024-02-13,2024-02-13,Cancelled,239,1764.05,Bank Transfer
1587,2024-04-30,2024-04-30,Shipped,823,5746.43,Bank Transfer
1588,2024-06-01,2024-06-01,Shipped,545,2338.87,Bank Transfer
1589,2024-07-25,2024-07-25,Cancelled,5,1084.33,Cash
1590,2024-06-18,2024-06-18,Processing,168,8621.67,Bank Transfer
1591,2024-04-19,2024-04-19,On Hold,544,7243.44,Bank Transfer
1592,2024-08-31,2024-08-31,Processing,533,1963.2,PayPal
1593,2024-04-28,2024-04-28,Cancelled,476,4345.74,PayPal
1594,2024-01-05,2024-01-05,Processing,75,5769.74,PayPal
1595,2024-04-20,2024-04-20,Shipped,584,9151.21,PayPal
1596,2024-05-20,2024-05-20,Shipped,713,5472.75,PayPal
1597,2024-06-12,2024-06-12,Shipped,727,400.79,Credit Card
1598,2024-04-16,2024-04-16,On Hold,959,1710.12,Bank Transfer
1599,2024-07-25,2024-07-25,Shipped,103,120.5,PayPal
1600,2024-10-26,2024-10-26,Processing,974,5635.31,PayPal
1601,2024-08-08,2024-08-08,Processing,504,5844.85,PayPal
1602,2024-05-21,2024-05-21,Cancelled,829,1149.42,Cash
1603,2024-10-29,2024-10-29,Shipped,303,1074.93,PayPal
1604,2024-07-22,2024-07-22,Processing,272,699.41,Cash
1605,2024-02-07,2024-02-07,Shipped,873,6519.46,Cash
1606,2024-02-20,2024-02-20,Processing,277,892.9,PayPal
1607,2024-11-04,2024-11-04,Processing,436,7602.71,Credit Card
1608,2024-11-06,2024-11-06,Shipped,917,9571.81,PayPal
1609,2024-01-12,2024-01-12,Shipped,202,4149.34,Bank Transfer
1610,2024-09-26,2024-09-26,Shipped,792,3861.65,Bank Transfer
1611,2024-03-05,2024-03-05,Cancelled,900,1592.23,PayPal
1612,2024-01-19,2024-01-19,Processing,626,9258.21,Credit Card
1613,2024-06-12,2024-06-12,Shipped,927,3779.96,Cash
1614,2024-09-30,2024-09-30,On Hold,36,9858.97,PayPal
1615,2024-06-29,2024-06-29,Cancelled,280,7071.48,Credit Card
1616,2024-06-02,2024-06-02,Shipped,634,6886.46,PayPal
1617,2024-03-17,2024-03-17,On Hold,505,7697.28,Cash
1618,2024-07-18,2024-07-18,Processing,180,3263.06,Bank Transfer
1619,2024-10-24,2024-10-24,On Hold,927,5631.06,Cash
1620,2024-08-21,2024-08-21,Processing,984,4672.74,PayPal
1621,2024-06-25,2024-06-25,Cancelled,776,4601.29,Cash
1622,2024-01-18,2024-01-18,On Hold,103,3717.91,Bank Transfer
1623,2024-07-04,2024-07-04,Processing,333,227.21,Bank Transfer
1624,2024-03-23,2024-03-23,Shipped,94,3419.74,Bank Transfer
1625,2024-06-12,2024-06-12,Cancelled,531,4114.03,PayPal
1626,2024-04-16,2024-04-16,Cancelled,165,7471.81,PayPal
1627,2024-08-02,2024-08-02,Shipped,959,1828.07,Bank Transfer
1628,2024-10-03,2024-10-03,Cancelled,790,6811.49,Credit Card
1629,2024-08-06,2024-08-06,Processing,540,3846.31,PayPal
1630,2024-04-20,2024-04-20,Cancelled,731,8453.17,PayPal
1631,2024-10-05,2024-10-05,Shipped,148,698.34,Bank Transfer
1632,2024-01-20,2024-01-20,Processing,33,8736.4,Bank Transfer
1633,2024-02-03,2024-02-03,On Hold,855,4703.1,PayPal
1634,2024-04-26,2024-04-26,Cancelled,415,6632.13,Credit Card
1635,2024-03-22,2024-03-22,Shipped,863,6262.19,Bank Transfer
1636,2024-09-01,2024-09-01,Cancelled,971,8315.54,PayPal
1637,2024-04-28,2024-04-28,On Hold,315,1848.12,Cash
1638,2024-09-17,2024-09-17,On Hold,564,7554.35,Credit Card
1639,2024-06-29,2024-06-29,Cancelled,386,7620.03,Cash
1640,2024-05-29,2024-05-29,Cancelled,446,6845.74,Bank Transfer
1641,2024-04-17,2024-04-17,Shipped,277,8342.57,Bank Transfer
1642,2024-07-01,2024-07-01,Shipped,115,6562.44,Cash
1643,2024-01-24,2024-01-24,Shipped,453,8549.16,Credit Card
1644,2024-07-23,2024-07-23,Shipped,49,4508.43,Bank Transfer
1645,2024-10-10,2024-10-10,Cancelled,662,6516.0,Bank Transfer
1646,2024-07-14,2024-07-14,Cancelled,213,6717.11,PayPal
1647,2024-04-30,2024-04-30,On Hold,204,3418.76,Cash
1648,2024-05-30,2024-05-30,On Hold,92,427.34,Credit Card
1649,2024-07-06,2024-07-06,Shipped,626,4661.99,Credit Card
1650,2024-08-10,2024-08-10,Processing,718,226.6,PayPal
1651,2024-08-06,2024-08-06,Cancelled,54,4485.18,Credit Card
1652,2024-11-08,2024-11-08,On Hold,406,8926.78,Credit Card
1653,2024-02-09,2024-02-09,Processing,664,2286.88,PayPal
1654,2024-05-23,2024-05-23,Processing,485,1425.44,Bank Transfer
1655,2024-07-30,2024-07-30,On Hold,499,8652.22,Credit Card
1656,2024-04-03,2024-04-03,Shipped,759,6767.76,Bank Transfer
1657,2024-09-06,2024-09-06,Shipped,734,2817.93,PayPal
1658,2024-01-31,2024-01-31,Shipped,562,7317.97,Credit Card
1659,2024-01-01,2024-01-01,Processing,106,5925.44,Cash
1660,2024-03-25,2024-03-25,Processing,14,7039.13,Bank Transfer
1661,2024-03-01,2024-03-01,Cancelled,285,6778.57,PayPal
1662,2024-10-08,2024-10-08,Cancelled,233,4988.96,Cash
1663,2024-01-26,2024-01-26,On Hold,955,5207.18,PayPal
1664,2024-07-28,2024-07-28,Cancelled,846,220.75,Cash
1665,2024-03-05,2024-03-05,Processing,860,5947.26,PayPal
1666,2024-08-21,2024-08-21,Shipped,137,6226.24,Cash
1667,2024-03-20,2024-03-20,Shipped,929,1331.71,PayPal
1668,2024-10-08,2024-10-08,On Hold,321,4619.55,PayPal
1669,2024-11-22,2024-11-22,On Hold,851,7710.52,Bank Transfer
1670,2024-11-01,2024-11-01,On Hold,384,4793.83,Credit Card
1671,2024-01-15,2024-01-15,On Hold,925,8133.1,Cash
1672,2024-04-06,2024-04-06,Shipped,279,2285.54,Bank Transfer
1673,2024-11-23,2024-11-23,On Hold,180,4222.91,Bank Transfer
1674,2024-11-22,2024-11-22,On Hold,859,2026.13,PayPal
1675,2024-10-03,2024-10-03,Cancelled,925,5846.34,Credit Card
1676,2024-04-18,2024-04-18,Processing,383,7128.11,Credit Card
1677,2024-04-02,2024-04-02,On Hold,924,936.62,Bank Transfer
1678,2024-07-29,2024-07-29,Shipped,961,7918.54,Bank Transfer
1679,2024-09-01,2024-09-01,Cancelled,506,9481.82,Bank Transfer
1680,2024-09-12,2024-09-12,Processing,301,8157.38,PayPal
1681,2024-04-12,2024-04-12,On Hold,691,7260.6,Cash
1682,2024-03-08,2024-03-08,Cancelled,774,202.41,PayPal
1683,2024-02-28,2024-02-28,Cancelled,944,9787.26,Credit Card
1684,2024-10-07,2024-10-07,On Hold,834,9286.54,Bank Transfer
1685,2024-07-23,2024-07-23,Shipped,787,6235.07,PayPal
1686,2024-05-03,2024-05-03,Shipped,175,3050.71,Cash
1687,2024-05-25,2024-05-25,Processing,905,9427.03,PayPal
1688,2024-01-03,2024-01-03,Processing,849,1749.31,Bank Transfer
1689,2024-11-14,2024-11-14,On Hold,613,3820.67,Cash
1690,2024-03-16,2024-03-16,Processing,901,7935.65,Bank Transfer
1691,2024-04-26,2024-04-26,Cancelled,696,9717.83,PayPal
1692,2024-07-21,2024-07-21,Cancelled,631,5893.99,Bank Transfer
1693,2024-03-22,2024-03-22,Processing,872,2560.61,PayPal
1694,2024-09-24,2024-09-24,Processing,191,9552.46,PayPal
1695,2024-01-08,2024-01-08,Processing,829,4240.49,Cash
1696,2024-01-12,2024-01-12,On Hold,518,1997.06,Credit Card
1697,2024-02-10,2024-02-10,Processing,615,4817.98,Cash
1698,2024-02-09,2024-02-09,Shipped,556,1455.48,Credit Card
1699,2024-05-04,2024-05-04,Shipped,18,1593.66,PayPal
1700,2024-01-12,2024-01-12,On Hold,960,2578.94,Credit Card
1701,2024-05-12,2024-05-12,On Hold,925,2078.97,Cash
1702,2024-11-06,2024-11-06,On Hold,506,7005.43,Cash
1703,2024-10-03,2024-10-03,On Hold,85,3604.21,Bank Transfer
1704,2024-06-08,2024-06-08,Shipped,654,5621.11,PayPal
1705,2024-07-18,2024-07-18,Cancelled,14,9623.86,Credit Card
1706,2024-02-20,2024-02-20,Shipped,378,1120.92,Credit Card
1707,2024-06-16,2024-06-16,Processing,643,3246.16,Credit Card
1708,2024-04-10,2024-04-10,Shipped,46,6636.08,Bank Transfer
1709,2024-10-08,2024-10-08,Shipped,924,3115.66,Bank Transfer
1710,2024-05-10,2024-05-10,On Hold,553,3917.2,Bank Transfer
1711,2024-01-18,2024-01-18,Shipped,373,5375.41,Cash
1712,2024-03-05,2024-03-05,Cancelled,754,4641.73,Bank Transfer
1713,2024-10-07,2024-10-07,Processing,915,6084.04,Credit Card
1714,2024-05-16,2024-05-16,Cancelled,866,6926.73,PayPal
1715,2024-04-22,2024-04-22,Shipped,198,2293.57,PayPal
1716,2024-04-05,2024-04-05,Processing,640,5875.99,Credit Card
1717,2024-09-03,2024-09-03,On Hold,355,4421.01,PayPal
1718,2024-11-26,2024-11-26,Cancelled,871,5053.58,Cash
1719,2024-07-20,2024-07-20,Processing,939,8494.83,PayPal
1720,2024-10-14,2024-10-14,Cancelled,27,4866.34,Credit Card
1721,2024-06-01,2024-06-01,Processing,340,8558.75,Credit Card
1722,2024-04-11,2024-04-11,Processing,464,999.8,Bank Transfer
1723,2024-09-08,2024-09-08,Shipped,182,2509.23,Credit Card
1724,2024-04-16,2024-04-16,Shipped,49,2623.71,PayPal
1725,2024-07-08,2024-07-08,Cancelled,75,9590.19,Bank Transfer
1726,2024-09-05,2024-09-05,Processing,684,743.46,Credit Card
1727,2024-01-11,2024-01-11,Processing,941,8254.56,Cash
1728,2024-11-15,2024-11-15,On Hold,139,9272.8,Bank Transfer
1729,2024-09-09,2024-09-09,Shipped,296,2418.39,Bank Transfer
1730,2024-01-20,2024-01-20,Cancelled,776,6532.91,PayPal
1731,2024-03-03,2024-03-03,Shipped,614,1424.64,Bank Transfer
1732,2024-05-05,2024-05-05,Cancelled,802,4179.47,Cash
1733,2024-08-02,2024-08-02,On Hold,930,7595.14,Cash
1734,2024-11-09,2024-11-09,Cancelled,112,9783.45,Cash
1735,2024-01-01,2024-01-01,Shipped,656,8249.75,Bank Transfer
1736,2024-10-06,2024-10-06,Processing,848,3988.95,Credit Card
1737,2024-01-12,2024-01-12,Shipped,787,8718.09,PayPal
1738,2024-04-29,2024-04-29,Processing,811,6500.06,Bank Transfer
1739,2024-08-03,2024-08-03,On Hold,128,320.61,Bank Transfer
1740,2024-10-07,2024-10-07,Cancelled,102,8626.93,PayPal
1741,2024-01-29,2024-01-29,Processing,254,7951.5,Credit Card
1742,2024-09-21,2024-09-21,On Hold,871,2505.58,Cash
1743,2024-02-17,2024-02-17,Processing,255,2931.16,PayPal
1744,2024-03-07,2024-03-07,Processing,12,9800.94,Bank Transfer
1745,2024-06-10,2024-06-10,Processing,428,4490.48,PayPal
1746,2024-07-03,2024-07-03,Cancelled,514,8674.85,Credit Card
